id,diretoria,pai_setor,setor,nome_setor,categoria_hub,subcategoria_geo,nat,tipo,situacao_2024,centro_custo,cod_ua,endereco,bairro,cep,telefones,emails,latitude,longitude,street_view,como_chegar,flag_geo,regra_classificacao,observacao,global_id
11,DLU,SG03R,SD23S,Divisão de Serviços Santa Tereza,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,41034000,14936.0,"Rua Francisco de Castro, 1",Santa Teresa,20241-300,98094-7416,gb.silva@prefeitura.rio / dss.sg03r@gmail.com,-22.92400573296918,-43.18716305420342,"http://maps.google.com/maps?q=&layer=c&cbll=-22.92400573,-43.18716305",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{64DE4050-BA4A-4662-B734-1A0827C1A310}
12,DLU,SG03R,SD03N,Divisão de Serviços Cidade Nova,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,41033000,44765.0,"Rua Ministro Helio Beltrão, 10",Cidade Nova,20211-227,98094-7257,alexnoliveira@prefeitura.rio / dss.sg03r@gmail.com,-22.91361358737047,-43.2045454549511,"http://maps.google.com/maps?q=&layer=c&cbll=-22.91361359,-43.20454545",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{C8437EA5-F192-41D9-AF94-28FBEAADD195}
13,DSU,UCV,UGV-T,Gerência de Manejo Arbóreo Grande Tijuca,Operacional,Manejo arbóreo,OP,GERÊNCIA,Unid. Oper. (Pst Avan.),44145000,52373.0,"Avenida Rei Pelé, S/N, embaixo do Viaduto Oduvaldo Cozzi",Maracanã,20271-130,96876-666,,-22.91043374602059,-43.22400852637335,"http://maps.google.com/maps?q=&layer=c&cbll=-22.91043375,-43.22400853",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{E0E14DEA-CC37-4A72-A256-925940A84B36}
14,DSU,UCP,UGH-F,Gerência Adjunta de Limpeza Hospitalar Salgado Filho,Operacional,Limpeza hospitalar,OP,GERÊNCIA ADJUNTA,Limp. Hosp.,44130800,45291.0,"Rua Arquias Cordeiro, 370",Méier,20770-000,2088-1372,joselinaraujo@prefeitura.rio,-22.90087053801634,-43.27834205554153,"http://maps.google.com/maps?q=&layer=c&cbll=-22.90087054,-43.27834206",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{696FB1A3-EE08-4596-B9D1-AE7464040FBB}
15,DLU,SG07S,SD07B,Divisão de Serviços Benfica,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,41042000,14940.0,"Rua Costa Lobo, S/N",Benfica,20911-180,98094-3551,dss.sg07s@gmail.com,-22.89689015835159,-43.24242741048241,"http://maps.google.com/maps?q=&layer=c&cbll=-22.89689016,-43.24242741",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{3C31C58E-BF33-4B43-A33E-979B65E13AA9}
16,DLU,OG18G,OD18C,Divisão de Serviços Cosmos,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,43031000,15011.0,"Estrada do Encanamento, S/N, Santa Margarida",Cosmos,23060000,98070-2122,valmir.souza@prefeitura.rio / og18cdso@yahoo.com.br,-22.89105879636676,-43.60923399313045,"http://maps.google.com/maps?q=&layer=c&cbll=-22.8910588,-43.60923399",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{192CD107-BBF7-4292-8353-8DE4C5215297}
17,DLU,LGE,LDE,Divisão de Manutenção de Equipamentos Urbanos,Manutenção,Ecoponto,OP,DIVISÃO,Unid. Oper. (ECOPONTO),40020200,42465.0,"Rua Bela, 1103",São Cristóvão,20930-381,21987366826,comlurb_ade@rio.rj.gov.br,-22.88700904377998,-43.22651824680068,"http://maps.google.com/maps?q=&layer=c&cbll=-22.88700904,-43.22651825",,OK,"Termos de frota, manutenção, oficina ou logística",,{6FD1ED77-64E3-4759-8CAD-7530F4004EF4}
18,DLU,OG17B,OD17C,Divisão de Serviços Senador Camará,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,43013000,16046.0,Rua José Leandro,Senador Camará,21833230,99429-8517,leonardo.xavier@prefeitura.rio / og17cdso@yahoo.com.br,-22.88129024763322,-43.49459349298928,"http://maps.google.com/maps?q=&layer=c&cbll=-22.88129025,-43.49459349",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{B9DFAAAD-2FD2-4116-9DB5-49351E77C6CB}
19,DSU,UGP,UGP07,Gerência Adjunta de Limpeza Predial 7 - Palácio 450,Operacional,Setor virtual / referência,,VIRTUAL,Limp. Pred.,44130907,45295.0,"Rua Carolina Machado, 920",Oswaldo Cruz,21550-000,,,-22.87024616500464,-43.34762659812283,"http://maps.google.com/maps?q=&layer=c&cbll=-22.87024617,-43.3476266",,OK,"Natureza OP, unidade operacional ou diretoria operacional","Setor virtual: pode aparecer como apoio/hierarquia, não necessariamente como ponto físico.",{7E78E9D4-DDB9-41BA-BE32-B9DE07065A05}
20,DLU,OG17B,OD17K,Divisão de Serviços Vila Kennedy,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,43012000,15006.0,"Avenida Brasil, 37500",Bangu,23095700,98051-5146,maiquel.oliveira@prefeitura.rio / og17kdso@yahoo.com.br,-22.85462969923743,-43.49044327727499,"http://maps.google.com/maps?q=&layer=c&cbll=-22.8546297,-43.49044328",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{C9709D04-0444-4194-A524-50E070000349}
21,DLU,NG11P,ND11V,Divisão de Serviços Vila Cruzeiro,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,45022000,14965.0,Praça Irmã Paula,Penha,21070-360,98094-3405,luizclamenza@prefeitura.rio / dsn.ng11v@gmail.com,-22.84442264728678,-43.28211497973485,"http://maps.google.com/maps?q=&layer=c&cbll=-22.84442265,-43.28211498",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{E12E7424-BABA-4D05-A90F-7D06EC8E0F88}
22,DLU,NG11P,ND11B,Divisão de Serviços Brás de Pina,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,45021000,14966.0,"Rua Ápia, 410",Vila da Penha,21221-250,98094-4928,romildojsilva@prefeitura.rio / comlurb_ng11b@rio.rj.gov.br,-22.84416495111464,-43.3016539309508,"http://maps.google.com/maps?q=&layer=c&cbll=-22.84416495,-43.30165393",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{13477BC2-354D-43B7-B00A-C0CD91D5A5B2}
23,DTE,TCD,TGA,Gerência de Aterros,Engenharia,Unidade operacional,OP,GERÊNCIA,Aterro sanit.,65010000,45853.0,"Estrada do Gericinó, S/N",Catiri,20931-005,3782-6720 / 378-26700,elias.gouvea@prefeitura.rio,-22.84350905311926,-43.47541200657764,"http://maps.google.com/maps?q=&layer=c&cbll=-22.84350905,-43.47541201",,OK,Diretoria DTE ou termo técnico/engenharia,,{0088F135-D0E6-434F-8611-C76F1D13DCA2}
24,DLU,DLU,LRN,Superintendência Regional Norte,Operacional,Unidade operacional,OP,SUPERINTENDENCIA,Unid. Oper.,45000000,48750.0,"Rua Cuba, 391",Penha,21020-160,98497-7356 / 96666-1383 / 98094-6517 / 98094-3760,mauricio.ssantos@prefeitura.rio / mauriciosds@hotmail.com  / juliovieira.comlurb@gmail.com / gb.silva@prefeitura.rio,-22.82927004085363,-43.27766013452785,"http://maps.google.com/maps?q=&layer=c&cbll=-22.82927004,-43.27766013",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{AD231D1D-47F2-43EC-83F8-53E0C181B4F6}
25,DTE,TGA,TDA,Divisão de Aterros Ativos,Engenharia,Unidade operacional,OP,DIVISÃO,Aterro sanit.,65010100,48859.0,"Rodovia Raphael de Almeida Magalhães, , Km 107 - Arco Metropolitano",Seropédica,,3782-6720 / 3782-6700,elias.gouvea@prefeitura.rio,-22.80031408389899,-43.75425386238206,"http://maps.google.com/maps?q=&layer=c&cbll=-22.80031408,-43.75425386",,OK,Diretoria DTE ou termo técnico/engenharia,,{D39343F5-C7A0-4834-98EF-0BB8805DED09}
26,DSU,UGP,UGP08,Gerência Adjunta de Limpeza Predial 8 - Gávea Pequena,Operacional,Setor virtual / referência,,VIRTUAL,Limp. Pred.,44130908,45295.0,"Estrada Da Gávea, 1338",Gávea Pequena,22610-001,,,-22.97672079674792,-43.27704837642949,"http://maps.google.com/maps?q=&layer=c&cbll=-22.9767208,-43.27704838",,OK,"Natureza OP, unidade operacional ou diretoria operacional","Setor virtual: pode aparecer como apoio/hierarquia, não necessariamente como ponto físico.",{81574842-9925-41D9-A4CC-B851BBABB8F2}
27,DSU,UCP,UGQ01,Coordenadoria de Serviços Hospitalares e Prediais - Parque Rita Lee,Operacional,Limpeza hospitalar,,VIRTUAL,Limp. Parq.,44131101,53302.0,"Avenida Embaixador Abelardo Bueno, 3401",Barra da Tijuca,22775-039,,,-22.97361046627585,-43.3934847687237,"http://maps.google.com/maps?q=&layer=c&cbll=-22.97361047,-43.39348477",,OK,"Natureza OP, unidade operacional ou diretoria operacional","Setor virtual: pode aparecer como apoio/hierarquia, não necessariamente como ponto físico.",{52004C40-0F70-4B44-9B2A-A226DE5ED67D}
28,DLU,LRN,NG11P,Gerência Penha,Operacional,Unidade operacional,OP,GERÊNCIA,Unid. Oper.,45020000,14964.0,"Rua Mafra, 50",Penha Circular,21011-640,98094-4657,robson.carvalho@prefeitura.rio / dsn.ng11p@gmail.com,-22.82927004085363,-43.27766013452785,"http://maps.google.com/maps?q=&layer=c&cbll=-22.82927004,-43.27766013",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{D924C214-37F5-4A68-8B9C-E3E2CDF6F2CD}
29,DLU,LGE,LDN,Divisão de Remoção Norte,Operacional,Ecoponto,OP,DIVISÃO,Unid. Oper. (ECOPONTO),40020400,14906.0,"Rua Bela, 1103",São Cristóvão,20930-381,21967836098,roberto.penarrieta@prefeitura.rio / comlurb_ldn@rio.rj.gov.br,-22.88700904377998,-43.22651824680068,"http://maps.google.com/maps?q=&layer=c&cbll=-22.88700904,-43.22651825",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{D11F5214-A067-4342-8DF2-11B02C421F9F}
30,DLU,SG07S,SD07M,Divisão de Serviços Mangueira,Operacional,Ecoponto,OP,DIVISÃO,Unid. Oper. (ECOPONTO),41041000,14939.0,"Rua Bela, 1103",São Cristóvão,20930-381,96529-6031,dss.sg07s@gmail.com,-22.88700904377998,-43.22651824680068,"http://maps.google.com/maps?q=&layer=c&cbll=-22.88700904,-43.22651825",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{8C6A17EB-00E2-4BBB-9394-932A26C32F76}
31,DLU,LRS,SGE,Gerência de Serviços Extraordinários e Pronto Emprego,Operacional,Ecoponto,OP,GERÊNCIA,Unid. Oper. (ECOPONTO),41270000,42512.0,"Rua Bela, 1103",São Cristóvão,20930-381,98094-6076 /98094-5458 / 97654-0033 / 98094-5928 /,carlos.aacunha@prefeitura.rio / dss.sge@gmail.com,-22.88700904377998,-43.22651824680068,"http://maps.google.com/maps?q=&layer=c&cbll=-22.88700904,-43.22651825",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{C4422047-74E1-4172-A2A0-146688F97344}
32,DSU,UGU,UGU-S,Gerência de Conservação e Revitalização de Mobiliário Urbano Sul,Operacional,Ecoponto,,VIRTUAL,Unid. Oper. (ECOPONTO),44160001,48866.0,"Rua Bela, 1103",São Cristóvão,20930-381,,,-22.88700904377998,-43.22651824680068,"http://maps.google.com/maps?q=&layer=c&cbll=-22.88700904,-43.22651825",,OK,"Natureza OP, unidade operacional ou diretoria operacional","Setor virtual: pode aparecer como apoio/hierarquia, não necessariamente como ponto físico.",{AF16DAD7-09CE-4016-8B8C-09DF0C5FF481}
33,DLU,BG16F,BG16F-P,Gerência Freguesia - Parque,Operacional,Unidade operacional,,VIRTUAL,Unid. Oper.,46050001,14994.0,"Rua Francisco Aquarone, 60",Freguesia,22755170,998784786,bg16fdsb@gmail.com,-22.94305041448586,-43.33843036489629,"http://maps.google.com/maps?q=&layer=c&cbll=-22.94305041,-43.33843036",,OK,"Natureza OP, unidade operacional ou diretoria operacional","Setor virtual: pode aparecer como apoio/hierarquia, não necessariamente como ponto físico.",{96BE4D48-3BBB-4BA4-9F3F-E0D8F21068AD}
34,DLU,LRO,OGV,Gerência de Serviços e Vias Especiais,Operacional,Unidade operacional,OP,GERÊNCIA,Unid. Oper.,43190000,48873.0,"Avenida Brasil, 37500",Bangu,23095700,99423-4715,r.silva@prefeitura.rio / comlurb.ogv@gmail.com,-22.85462969923743,-43.49044327727499,"http://maps.google.com/maps?q=&layer=c&cbll=-22.8546297,-43.49044328",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{1F18FC61-79F0-451A-A113-97DF88180B83}
35,DTE,TDA,TDA01,Divisão de Aterros Ativos - Bangu,Engenharia,Setor virtual / referência,,VIRTUAL,Aterro sanit.,65010101,48859.0,Estrada do Gericinó,Bangu,31853-050,,marcos.cherem@prefeitura.rio,-22.84350905311926,-43.47541200657764,"http://maps.google.com/maps?q=&layer=c&cbll=-22.84350905,-43.47541201",,OK,Diretoria DTE ou termo técnico/engenharia,"Setor virtual: pode aparecer como apoio/hierarquia, não necessariamente como ponto físico.",{31CD10E7-285C-45B4-BA3E-6F5657A2B878}
36,PRE,COMLURB,PRE,Presidência,Presidência,Convênio SMS,ADM,PRESIDENCIA,"Unid. Adm., Unid. Oper., Conv. SMS",10000000,14817.0,"Rua Major Ávila, 358",Tijuca,20540-903,,presidencia_comlurb@prefeitura.rio,-22.92040663262603,-43.23310289783324,"http://maps.google.com/maps?q=&layer=c&cbll=-22.92040663,-43.2331029",,OK,Diretoria PRE ou termo de governança/presidência,,{DF61465A-FA9F-4D33-BFC4-A539CAF2FAED}
38,DLU,BGE,BGE-P,Gerência de Serviços Extraordinários e Pronto Emprego - Parque,Operacional,Unidade operacional,,VIRTUAL,Unid. Oper.,46001001,45617.0,Avenida Adauto Botelho,Jacarepaguá,22713550,980944200,,-22.93979100216947,-43.39337132767304,"http://maps.google.com/maps?q=&layer=c&cbll=-22.939791,-43.39337133",,OK,"Natureza OP, unidade operacional ou diretoria operacional","Setor virtual: pode aparecer como apoio/hierarquia, não necessariamente como ponto físico.",{F096BCAB-A0FB-402B-928F-D5CE164D7897}
39,DLU,CG08T,CD08M,Divisão de Serviços Muda,Operacional,Unidade operacional,OP,DIVISÃO,"Unid. Adm., Unid. Oper.",47011000,14953.0,"Rua General Espírito Santo Cardoso, 628",Tijuca,20530-500,98094-4922,dss.sg08t@gmail.com,-22.93252735944342,-43.24826645982917,"http://maps.google.com/maps?q=&layer=c&cbll=-22.93252736,-43.24826646",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{093BB74F-6BF8-4F6A-A2D5-C2BF40C6E6F6}
41,DLU,LRB,BG24R,Gerência Recreio,Operacional,Unidade operacional,OP,GERÊNCIA,Unid. Oper.,46030000,38164.0,"Avenida Genaro de Carvalho, S/N",Recreio dos Bandeirantes,22795077,980944088,felipe.barbosa@prefeitura.rio / bg24rdsb@gmail.com,-23.01726896486876,-43.4638654041737,"http://maps.google.com/maps?q=&layer=c&cbll=-23.01726896,-43.4638654",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{3F4DA487-9D68-48F9-ACB9-A77CDD2DB521}
42,DLU,SG04B,SD04L,Divisão de Serviços Laranjeiras,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,41062000,14945.0,"Rua Moura Brasil, 18",Laranjeiras,22231-200,980946614 / 998010765,dss.sg04b@gmail.com,-22.93441142695289,-43.18456756892096,"http://maps.google.com/maps?q=&layer=c&cbll=-22.93441143,-43.18456757",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{785FF175-6334-47E5-B753-EC52D2C91E68}
44,DLU,DLU,LCF,Coordenadoria de Fabricação Industrial,Operacional,Unidade operacional,OP,COORDENADORIA,Unid. Oper.,40060000,45837.0,"Avenida Manuel Caldeira de Alvarenga, 1215",Campo Grande,23070-200,988041881,jorge.carmo@prefeitura.rio / paulo.cruz@rio.rj.gov.br,-22.90000251323228,-43.57726692901039,"http://maps.google.com/maps?q=&layer=c&cbll=-22.90000251,-43.57726693",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{F531CB62-559F-441B-A059-C0DB05B49B1C}
45,DAF,FCD,FCD01,Coordenadoria de Estoque e Distribuição_Jacarepaguá,Financeiro,Unidade operacional,,VIRTUAL,"ETR, Unid. Oper.",20100001,43132.0,"Rua Américo de Souza Braga, 647",Vargem Pequena,22783-385,,,-22.98453074385994,-43.45186063582203,"http://maps.google.com/maps?q=&layer=c&cbll=-22.98453074,-43.45186064",,OK,Diretoria DAF ou termos financeiros/contratuais,"Setor virtual: pode aparecer como apoio/hierarquia, não necessariamente como ponto físico.",{3C8A8553-29E9-450A-900A-CFB454FDC13F}
46,DLU,SG01P,SD01C,Divisão de Serviços Caju,Operacional,Unidade operacional,OP,DIVISÃO,"ETR, Unid. Oper.",41011000,14928.0,"Rua Carlos Seidl, 1388",Caju,22280-005,98094-5344,danilospoggian@prefeitura.rio / dss.sg01p@gmail.com,-22.87611746764896,-43.22981506389341,"http://maps.google.com/maps?q=&layer=c&cbll=-22.87611747,-43.22981506",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{40A1C0E5-F695-44DF-A1AA-D839AD26350B}
47,DSU,UCP,UHC,Divisão de Coleta Hospitalar,Operacional,Limpeza hospitalar,OP,DIVISÃO,"Unid. Oper., Coop. Catad., Col. Hosp.",44130010,45290.0,"Avenida Monsenhor Félix, 512",Irajá,21235-110,4502-8759 /  4502- 8764,edson.baptista@prefeitura.rio,-22.84635318572439,-43.32220662467676,"http://maps.google.com/maps?q=&layer=c&cbll=-22.84635319,-43.32220662",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{A87A67AF-A9B3-4C54-8C0D-CEF7375E1BA6}
48,DLU,NG15H,ND15R,Divisão de Serviços Rocha Miranda,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,45081000,14986.0,Praça Carlos Toledo,Rocha Miranda,21540-540,98094-5066,chdpires@prefeitura.rio / comlurb_ng15r@rio.rj.gov.br,-22.85116948768629,-43.34369449246123,"http://maps.google.com/maps?q=&layer=c&cbll=-22.85116949,-43.34369449",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{E22AD6A0-AB83-4FD6-A672-7AE9C9791E41}
49,DLU,BG24R,BG24R-P,Gerência Recreio - Parque,Operacional,Unidade operacional,,VIRTUAL,Unid. Oper.,46030001,38164.0,"Avenida Genaro de Carvalho, S/N",Recreio dos Bandeirantes,22795077,980944088,bg24rdsb@gmail.com,-23.01726896486876,-43.4638654041737,"http://maps.google.com/maps?q=&layer=c&cbll=-23.01726896,-43.4638654",,OK,"Natureza OP, unidade operacional ou diretoria operacional","Setor virtual: pode aparecer como apoio/hierarquia, não necessariamente como ponto físico.",{44C66082-99E3-43F7-BFDA-62AC438DAB77}
50,DLU,BG24B,BG24S,Gerência Adjunta Sernambetiba,Operacional,Unidade operacional,OP,GERÊNCIA ADJUNTA,Unid. Oper.,46024000,15000.0,"Avenida Alda Garrido, 244",Barra da Tijuca,22621-000,988046581,bg24sdsbarra@gmail.com,-23.00941623292482,-43.31279297938844,"http://maps.google.com/maps?q=&layer=c&cbll=-23.00941623,-43.31279298",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{FF90B7EE-50F9-43BB-B24F-1CA0BA80B344}
51,DLU,BG24B,BG24J,Gerência Adjunta Joá,Operacional,Unidade operacional,OP,GERÊNCIA ADJUNTA,Unid. Oper.,46023000,14999.0,"Rua Calheiros Gomes, 135",Barra da Tijuca,22611-280,987974607,alexandresilva@prefeitura.rio / bg24j.dsb.rio@gmail.com,-23.00748523299808,-43.30052667462666,"http://maps.google.com/maps?q=&layer=c&cbll=-23.00748523,-43.30052667",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{5E44A6CB-67A0-40E2-96CE-01A895D43309}
52,DLU,LRO,OG26P,Gerência Pedra de Guaratiba,Operacional,Ecoponto,OP,GERÊNCIA,Unid. Oper. (ECOPONTO),43050000,15017.0,"Rua Belchior da Fonseca, 167",Pedra de Guaratiba,23027260,99555-3695,lccamaral@prefeitura.rio / comlurb.og26pedradeguaratiba@gmail.com,-22.99997818887476,-43.64193516678889,"http://maps.google.com/maps?q=&layer=c&cbll=-22.99997819,-43.64193517",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{710CC5C7-5705-4B95-8B83-A2A17ACC5965}
54,DSU,UGU,UGU-B,Gerência de Conservação e Revitalização de Mobiliário Urbano Barra,Operacional,Unidade operacional,,VIRTUAL,Unid. Oper.,44160003,48866.0,"Avenida Ayrton Senna, 2001",Barra da Tijuca,22775-003,,,-22.99289143804819,-43.36679916156873,"http://maps.google.com/maps?q=&layer=c&cbll=-22.99289144,-43.36679916",,OK,"Natureza OP, unidade operacional ou diretoria operacional","Setor virtual: pode aparecer como apoio/hierarquia, não necessariamente como ponto físico.",{0478DE43-628D-44CA-8279-AEB6382F29CB}
56,DLU,SG05C,SG05-CN,Gerência Adjunta Copacabana Norte,Operacional,Unidade operacional,OP,GERÊNCIA ADJUNTA,Unid. Oper.,41083000,14947.0,"Rua Pompeu Loureiro, 2",Copacabana,22061-000,97484-4452,jonathan.lima@prefeitura.rio / dss.sg05c@gmail.com,-22.97167030802004,-43.19164564747116,"http://maps.google.com/maps?q=&layer=c&cbll=-22.97167031,-43.19164565",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{2446C65E-6032-4748-A67B-AF35A50D2676}
57,DLU,OG19C,OD19S,Divisão de Serviços Sepetiba,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,43044000,15016.0,"Rua Presidente Nobre, 60",Sepetiba,23545430,96441-1888,jabjunior@prefeitura.rio / og19sdso@yahoo.com.br,-22.97048891512775,-43.70847753638843,"http://maps.google.com/maps?q=&layer=c&cbll=-22.97048892,-43.70847754",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{24F03E13-581B-4223-9D15-EA62EF91C113}
58,DLU,LRS,SG05C,Gerência Copacabana,Operacional,Unidade operacional,OP,GERÊNCIA,Unid. Oper.,41080000,14946.0,"Rua Gustavo Sampaio, 2",Leme,22010-010,98094-7536,luizcpaiva@prefeitura.rio / dss.sg05c@gmail.com,-22.96138107823892,-43.1654956895504,"http://maps.google.com/maps?q=&layer=c&cbll=-22.96138108,-43.16549569",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{F7A390C5-2CF9-490D-8381-D23EF69AD37E}
